2015-12-21 22:45:31.038 INFO  DefaultTestContextBootstrapper:256 - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2015-12-21 22:45:31.044 INFO  DefaultTestContextBootstrapper:204 - Could not instantiate TestExecutionListener [org.springframework.test.context.web.ServletTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [javax/servlet/ServletContext]
2015-12-21 22:45:31.045 INFO  DefaultTestContextBootstrapper:204 - Could not instantiate TestExecutionListener [org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [org/springframework/transaction/interceptor/TransactionAttribute]
2015-12-21 22:45:31.046 INFO  DefaultTestContextBootstrapper:204 - Could not instantiate TestExecutionListener [org.springframework.test.context.transaction.TransactionalTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [org/springframework/transaction/interceptor/TransactionAttributeSource]
2015-12-21 22:45:31.047 INFO  DefaultTestContextBootstrapper:182 - Using TestExecutionListeners: [org.springframework.test.context.support.DependencyInjectionTestExecutionListener@6d849e87, org.springframework.test.context.support.DirtiesContextTestExecutionListener@1dc3e93d]
2015-12-21 22:45:31.213 INFO  XmlBeanDefinitionReader:317 - Loading XML bean definitions from class path resource [spring-module.xml]
2015-12-21 22:45:31.411 INFO  GenericApplicationContext:510 - Refreshing org.springframework.context.support.GenericApplicationContext@4bdc725b: startup date [Mon Dec 21 22:45:31 PST 2015]; root of context hierarchy
2015-12-21 22:45:31.492 INFO  PropertyPlaceholderConfigurer:172 - Loading properties file from class path resource [wjri.properties]
2015-12-21 22:45:31.530 INFO  WJRInterfaceTest:92 - -----------------------------------------------------------------START---------------------------------------------------------
2015-12-21 22:45:31.530 INFO  WJRInterfaceTest:108 - -----------------------------TEST-------------------------------------------
2015-12-21 22:45:31.530 INFO  WJRInterfaceTest:110 - Execute Class WJRInterface with full package name com.test.WJRInterface
2015-12-21 22:45:31.531 INFO  WJRInterface:91 - -----------------------------INIT-------------------------------------------
2015-12-21 22:45:31.531 INFO  WJRInterface:93 - Executing on Properties: {}
2015-12-21 22:45:31.531 INFO  CovariateEdge:15 - -----------------------------EDGE-------------------------------------------
2015-12-21 22:45:31.531 INFO  CovariateEdge:16 - JRI Path C:/Project_TeamCI-WPI/TeamCI_Java/Workspace/WmsSpace/WJRIAdapter/src/lib
2015-12-21 22:45:31.534 INFO  GenericApplicationContext:862 - Closing org.springframework.context.support.GenericApplicationContext@4bdc725b: startup date [Mon Dec 21 22:45:31 PST 2015]; root of context hierarchy
2015-12-21 22:47:19.066 INFO  DefaultTestContextBootstrapper:256 - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2015-12-21 22:47:19.072 INFO  DefaultTestContextBootstrapper:204 - Could not instantiate TestExecutionListener [org.springframework.test.context.web.ServletTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [javax/servlet/ServletContext]
2015-12-21 22:47:19.073 INFO  DefaultTestContextBootstrapper:204 - Could not instantiate TestExecutionListener [org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [org/springframework/transaction/interceptor/TransactionAttribute]
2015-12-21 22:47:19.074 INFO  DefaultTestContextBootstrapper:204 - Could not instantiate TestExecutionListener [org.springframework.test.context.transaction.TransactionalTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [org/springframework/transaction/interceptor/TransactionAttributeSource]
2015-12-21 22:47:19.076 INFO  DefaultTestContextBootstrapper:182 - Using TestExecutionListeners: [org.springframework.test.context.support.DependencyInjectionTestExecutionListener@6d849e87, org.springframework.test.context.support.DirtiesContextTestExecutionListener@1dc3e93d]
2015-12-21 22:47:19.157 INFO  XmlBeanDefinitionReader:317 - Loading XML bean definitions from class path resource [spring-module.xml]
2015-12-21 22:47:19.280 INFO  GenericApplicationContext:510 - Refreshing org.springframework.context.support.GenericApplicationContext@4bdc725b: startup date [Mon Dec 21 22:47:19 PST 2015]; root of context hierarchy
2015-12-21 22:47:19.347 INFO  PropertyPlaceholderConfigurer:172 - Loading properties file from class path resource [wjri.properties]
2015-12-21 22:47:19.372 INFO  WJRInterfaceTest:90 - -----------------------------------------------------------------START---------------------------------------------------------
2015-12-21 22:47:19.372 INFO  WJRInterfaceTest:105 - -----------------------------TEST-------------------------------------------
2015-12-21 22:47:19.372 INFO  WJRInterfaceTest:107 - Execute Class WJRInterface with full package name com.test.WJRInterface
2015-12-21 22:47:19.372 INFO  WJRInterface:91 - -----------------------------INIT-------------------------------------------
2015-12-21 22:47:19.373 INFO  WJRInterface:93 - Executing on Properties: {}
2015-12-21 22:47:19.373 INFO  CovariateEdge:15 - -----------------------------EDGE-------------------------------------------
2015-12-21 22:47:19.373 INFO  CovariateEdge:16 - JRI Path C:/awnics/Api/workspace/blogit/mars-space/JriLib/src/lib
2015-12-21 22:47:19.376 INFO  GenericApplicationContext:862 - Closing org.springframework.context.support.GenericApplicationContext@4bdc725b: startup date [Mon Dec 21 22:47:19 PST 2015]; root of context hierarchy
2015-12-21 22:54:16.457 INFO  DefaultTestContextBootstrapper:256 - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2015-12-21 22:54:16.463 INFO  DefaultTestContextBootstrapper:204 - Could not instantiate TestExecutionListener [org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [org/springframework/transaction/interceptor/TransactionAttribute]
2015-12-21 22:54:16.464 INFO  DefaultTestContextBootstrapper:204 - Could not instantiate TestExecutionListener [org.springframework.test.context.web.ServletTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [javax/servlet/ServletContext]
2015-12-21 22:54:16.464 INFO  DefaultTestContextBootstrapper:204 - Could not instantiate TestExecutionListener [org.springframework.test.context.transaction.TransactionalTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [org/springframework/transaction/interceptor/TransactionAttributeSource]
2015-12-21 22:54:16.466 INFO  DefaultTestContextBootstrapper:182 - Using TestExecutionListeners: [org.springframework.test.context.support.DependencyInjectionTestExecutionListener@39376b96, org.springframework.test.context.support.DirtiesContextTestExecutionListener@65786232]
2015-12-21 22:54:16.549 INFO  XmlBeanDefinitionReader:317 - Loading XML bean definitions from class path resource [spring-module.xml]
2015-12-21 22:54:16.681 INFO  GenericApplicationContext:510 - Refreshing org.springframework.context.support.GenericApplicationContext@194bf8af: startup date [Mon Dec 21 22:54:16 PST 2015]; root of context hierarchy
2015-12-21 22:54:16.748 INFO  PropertyPlaceholderConfigurer:172 - Loading properties file from class path resource [wjri.properties]
2015-12-21 22:54:16.776 INFO  WJRInterfaceTest:90 - -----------------------------------------------------------------START---------------------------------------------------------
2015-12-21 22:54:16.776 INFO  WJRInterfaceTest:105 - -----------------------------TEST-------------------------------------------
2015-12-21 22:54:16.777 INFO  WJRInterfaceTest:107 - Execute Class WJRInterface with full package name com.test.WJRInterface
2015-12-21 22:54:16.777 INFO  WJRInterface:91 - -----------------------------INIT-------------------------------------------
2015-12-21 22:54:16.777 INFO  WJRInterface:93 - Executing on Properties: {}
2015-12-21 22:54:16.777 INFO  CovariateEdge:15 - -----------------------------EDGE-------------------------------------------
2015-12-21 22:54:16.777 INFO  CovariateEdge:16 - JRI Path C:/awnics/Api/workspace/blogit/mars-space/JriLib/src/lib
2015-12-21 22:54:16.781 INFO  GenericApplicationContext:862 - Closing org.springframework.context.support.GenericApplicationContext@194bf8af: startup date [Mon Dec 21 22:54:16 PST 2015]; root of context hierarchy
2015-12-21 22:56:57.755 INFO  DefaultTestContextBootstrapper:256 - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2015-12-21 22:56:57.761 INFO  DefaultTestContextBootstrapper:204 - Could not instantiate TestExecutionListener [org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [org/springframework/transaction/interceptor/TransactionAttribute]
2015-12-21 22:56:57.761 INFO  DefaultTestContextBootstrapper:204 - Could not instantiate TestExecutionListener [org.springframework.test.context.transaction.TransactionalTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [org/springframework/transaction/interceptor/TransactionAttributeSource]
2015-12-21 22:56:57.763 INFO  DefaultTestContextBootstrapper:204 - Could not instantiate TestExecutionListener [org.springframework.test.context.web.ServletTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [javax/servlet/ServletContext]
2015-12-21 22:56:57.764 INFO  DefaultTestContextBootstrapper:182 - Using TestExecutionListeners: [org.springframework.test.context.support.DependencyInjectionTestExecutionListener@46441b45, org.springframework.test.context.support.DirtiesContextTestExecutionListener@215a730d]
2015-12-21 22:56:57.846 INFO  XmlBeanDefinitionReader:317 - Loading XML bean definitions from class path resource [spring-module.xml]
2015-12-21 22:56:57.971 INFO  GenericApplicationContext:510 - Refreshing org.springframework.context.support.GenericApplicationContext@2599e02a: startup date [Mon Dec 21 22:56:57 PST 2015]; root of context hierarchy
2015-12-21 22:56:58.039 INFO  PropertyPlaceholderConfigurer:172 - Loading properties file from class path resource [wjri.properties]
2015-12-21 22:56:58.064 INFO  WJRInterfaceTest:90 - -----------------------------------------------------------------START---------------------------------------------------------
2015-12-21 22:56:58.064 INFO  WJRInterfaceTest:105 - -----------------------------TEST-------------------------------------------
2015-12-21 22:56:58.065 INFO  WJRInterfaceTest:107 - Execute Class WJRInterface with full package name com.test.WJRInterface
2015-12-21 22:56:58.065 INFO  WJRInterface:91 - -----------------------------INIT-------------------------------------------
2015-12-21 22:56:58.065 INFO  WJRInterface:93 - Executing on Properties: {}
2015-12-21 22:56:58.065 INFO  CovariateEdge:15 - -----------------------------EDGE-------------------------------------------
2015-12-21 22:56:58.065 INFO  CovariateEdge:16 - JRI Path C:/awnics/Api/workspace/blogit/mars-space/JriLib/src/lib
2015-12-21 22:56:58.069 INFO  GenericApplicationContext:862 - Closing org.springframework.context.support.GenericApplicationContext@2599e02a: startup date [Mon Dec 21 22:56:57 PST 2015]; root of context hierarchy
2015-12-21 22:57:14.288 INFO  DefaultTestContextBootstrapper:256 - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2015-12-21 22:57:14.295 INFO  DefaultTestContextBootstrapper:204 - Could not instantiate TestExecutionListener [org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [org/springframework/transaction/interceptor/TransactionAttribute]
2015-12-21 22:57:14.295 INFO  DefaultTestContextBootstrapper:204 - Could not instantiate TestExecutionListener [org.springframework.test.context.transaction.TransactionalTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [org/springframework/transaction/interceptor/TransactionAttributeSource]
2015-12-21 22:57:14.297 INFO  DefaultTestContextBootstrapper:204 - Could not instantiate TestExecutionListener [org.springframework.test.context.web.ServletTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [javax/servlet/ServletContext]
